	Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Thu Sep 25 22:28:45 2025

	Network distribution mode enabled.
	Auto Mode
	Excel chart generation enabled
	OPS Mode. Output is in operations per second.
	Command line used: iozone -+m /shared/machines.txt -f /shared/testfile -a -R -O
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
            8192      16     39705    101990    218689    248183    209412     39683    174623     181439     199287     66605    102771     72335    222035
            8192      32     19073     55410    100671    124264    118360     51353     39949      34492     122074     46109     43627    135014     96379
            8192      64     10266     24320     54077     63747     64189     26484     25381      13687      26919     10670     24763     55434     59953
            8192     128      5562     12546     23287     30858     31540     13256     18238      14375      31682     12174      8031     26166     32272
            8192     256      2663      6494     10705     15023     14638      6015     13450       7155      13913      5365      6022     10989     13746
            8192     512      1253      1376      6589      8306      7979      3370      2832       5579       5410      2758      3205      5738      8226
            8192    1024       302      1680      3053      3976      3844      1715      3448       1241       4545      1044      1488      2509      3519
            8192    2048       119       778      1136      2017      1596       795      1774       1072       1430       572       751       677      1793
            8192    4096        89       363       495       685       683       321       712        312        512       342       564       543       629
            8192    8192        86       209       293       372       302       217       286        218        181       156       208       288       230
           16384       4    142757    334422    425467    636909    406837    268009    446139     514247     497148    264648    335493    174305    408210
           16384       8     86794    187014    377433    421141    353468    172857    189419     294500     289517    164024    126953    318702    391201
           16384      16     40610    104434    208556    247166    224517     92854    184834     163159     218109     96703     62362    242889    269482
           16384      32     15229     61656    118764    161103    150280     53640    117917     108317     129947     56413     53035     48715     79628
           16384      64      8933     26451     44283     70405     70832     23559     71152      52751      52032     22511     23880     52396     69887
           16384     128      5215     12886     28014     36919     36876     11934     28674      23071      35290     11128     13627     33898     38845
           16384     256      2668      3795     16461      9778     13165      6630     15477      12710      16020      4331      5947     13104     19024
           16384     512       711      3544      8091     11535     11531      3313      9337       6581      11065      3381      3382      8194     12092
           16384    1024       580      1796      4079      4106      6123      1567      4820       2929       5778      1253      1708      4432      6297
           16384    2048       252       820      1536      2664      2432       719      1326       1371       3122       683       263      1913      2160
           16384    4096       138       414       568       509       513       421       619        503        796       474       496       534       919
           16384    8192        62       232       378       455       359       229       351        184        375       229       344       318       410
           16384   16384        46       112       212       206       171       111       185         84        168       106       113       180       211
           32768      64      8154     28062     31583     37703     44187     21764     55938      57021      81270     22915     23875     62722     77493
           32768     128      5383     13309     30526     46741     32968     13825     34408      25071      33190     11871     10275     31805     44183
           32768     256      2489      6743     16254     21846     18408      5325     17130      10199      20562      5406      5911     15982     20150
           32768     512      1343      2390      7804      8757      8065      3142      7305       3883       9183      2799      2765      5382      7696
           32768    1024       658       981      4636      6312      5785      1653      4562       2461       4874      1217      1425      3405      4206
           32768    2048       219       862      2060      1618      2094       879      2047       1191       2059       633       653      1972      3088
           32768    4096       161       453       582       592       691       439       736        511        664       329       382       527       623
           32768    8192        58       213       352       334       338       218       343        280        357       197       206       349       382
           32768   16384        31       104       198       194       168        91       200        115        161        87       146       184       221
           65536      64      9070     22230     73712     86390     71096     25252     61645      61608      76652     22742     23632     76567     88024
           65536     128      5269      9239     38706     42029     35639     12475     39421      25207      42289     10168     14122     35152     43775
           65536     256      2813      6960     19651     20903     17743      5909     17291      10901      18242      5440      5859     20444     19607
           65536     512      1329      3429     11406     13798     11772      3300     11555       5622      11024      2821      3280     10993     13640
           65536    1024       585      1259      4743      6059      5091      1725      4578       2447       4700      1464      1717      5158      6143
           65536    2048       316       927      2006      3157      2254       805      1640       1304       2451       655       737      2388      3500
           65536    4096       182       358       709       759       866       430       678        536        769       352       368       861      1012
           65536    8192        88       224       335       385       416       218       388        280        427       188       185       370       402
           65536   16384        34        86       168       196       171       108       207        126        115        86        86       162       231
          131072      64     11391     23028     91062    103387     77732     27898     89962      64469      96055     29587     28563     97504     99790
          131072     128      5185     10884     42245     53394     45808     14017     46047      27046      38586     14331     12924     46907     40454
          131072     256      3149      7402     20839     27296     23594      7120     22275      13234      24860      6410      5147     18366     22315
          131072     512      1572      3452     11150     13113     12066      3714      7119       6226      12381      3549      3653     12017     12906
          131072    1024       776      1701      6438      7544      5484      1991      5219       2776       5218      1462      1357      5982      6762
          131072    2048       391       946      2506      3325      2776       956      2509       1533       2614       753       790      2497      2855
